"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Wed Jun 30 2021 00:00:00 GMT+0530 (India Standard Time)","26.00","29.00","26.00","28.05","8.72","8.51","89,616,855"
"Thu Jul 01 2021 00:00:00 GMT+0530 (India Standard Time)","28.35","28.95","27.20","27.35","-2.50","-2.71","44,266,806"
"Fri Jul 02 2021 00:00:00 GMT+0530 (India Standard Time)","27.45","28.40","27.10","27.45","0.37","0.15","22,978,061"
"Mon Jul 05 2021 00:00:00 GMT+0530 (India Standard Time)","27.80","28.10","26.90","27.15","-1.09","-1.31","20,969,983"
"Tue Jul 06 2021 00:00:00 GMT+0530 (India Standard Time)","27.20","27.35","26.05","26.20","-3.50","-3.71","17,531,183"
"Wed Jul 07 2021 00:00:00 GMT+0530 (India Standard Time)","26.20","27.45","26.10","26.70","1.91","1.69","15,632,447"
"Thu Jul 08 2021 00:00:00 GMT+0530 (India Standard Time)","26.90","27.00","26.15","26.35","-1.31","-1.52","10,494,076"
"Fri Jul 09 2021 00:00:00 GMT+0530 (India Standard Time)","26.30","26.35","25.85","26.15","-0.76","-0.97","10,059,968"
"Mon Jul 12 2021 00:00:00 GMT+0530 (India Standard Time)","26.35","26.70","26.00","26.10","-0.19","-0.41","6,765,170"
"Tue Jul 13 2021 00:00:00 GMT+0530 (India Standard Time)","26.35","27.20","25.90","26.70","2.30","2.08","23,561,691"
"Wed Jul 14 2021 00:00:00 GMT+0530 (India Standard Time)","26.70","26.80","24.90","25.50","-4.49","-4.71","14,157,093"
"Thu Jul 15 2021 00:00:00 GMT+0530 (India Standard Time)","25.75","26.00","25.20","25.30","-0.78","-1.00","8,118,742"
"Fri Jul 16 2021 00:00:00 GMT+0530 (India Standard Time)","25.45","25.65","25.10","25.25","-0.20","-0.41","6,072,213"
"Mon Jul 19 2021 00:00:00 GMT+0530 (India Standard Time)","24.95","25.15","24.50","24.65","-2.38","-2.59","10,458,291"
"Tue Jul 20 2021 00:00:00 GMT+0530 (India Standard Time)","24.20","24.40","23.15","23.35","-5.27","-5.49","15,576,622"
"Thu Jul 22 2021 00:00:00 GMT+0530 (India Standard Time)","23.60","26.00","23.60","24.50","4.93","4.71","13,314,593"
"Fri Jul 23 2021 00:00:00 GMT+0530 (India Standard Time)","24.60","26.30","23.90","25.75","5.10","4.89","29,854,980"
"Mon Jul 26 2021 00:00:00 GMT+0530 (India Standard Time)","25.75","25.75","24.80","24.90","-3.30","-3.52","7,855,559"
"Tue Jul 27 2021 00:00:00 GMT+0530 (India Standard Time)","24.50","25.35","24.35","24.50","-1.61","-1.82","8,817,390"
"Wed Jul 28 2021 00:00:00 GMT+0530 (India Standard Time)","24.50","24.80","24.10","24.30","-0.82","-1.03","8,246,665"
"Thu Jul 29 2021 00:00:00 GMT+0530 (India Standard Time)","24.50","24.65","24.20","24.30","0","-0.21","6,583,392"
"Fri Jul 30 2021 00:00:00 GMT+0530 (India Standard Time)","24.30","24.95","24.25","24.45","0.62","0.40","7,266,854"
"Mon Aug 02 2021 00:00:00 GMT+0530 (India Standard Time)","24.65","24.75","23.55","24.05","-1.64","-1.85","9,701,173"
