"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Tue Jan 02 2024 00:00:00 GMT+0530 (India Standard Time)","45.50","46.20","45.10","45.45","-0.44","-1.79","17,628,818"
"Wed Jan 03 2024 00:00:00 GMT+0530 (India Standard Time)","46.00","47.60","45.60","47.30","4.07","2.72","63,018,012"
"Thu Jan 04 2024 00:00:00 GMT+0530 (India Standard Time)","47.55","47.75","46.95","47.20","-0.21","-1.56","27,700,055"
"Fri Jan 05 2024 00:00:00 GMT+0530 (India Standard Time)","47.30","47.60","46.30","46.70","-1.06","-2.41","18,698,418"
"Mon Jan 08 2024 00:00:00 GMT+0530 (India Standard Time)","46.90","46.90","45.80","45.95","-1.61","-2.96","21,006,685"
"Tue Jan 09 2024 00:00:00 GMT+0530 (India Standard Time)","46.20","46.50","45.55","45.90","-0.11","-1.46","12,906,381"
"Wed Jan 10 2024 00:00:00 GMT+0530 (India Standard Time)","45.90","45.95","45.20","45.25","-1.42","-2.77","15,500,064"
"Thu Jan 11 2024 00:00:00 GMT+0530 (India Standard Time)","45.50","46.30","45.50","45.95","1.55","0.20","16,580,260"
"Fri Jan 12 2024 00:00:00 GMT+0530 (India Standard Time)","46.20","48.65","46.10","48.30","5.11","3.76","77,464,168"
"Mon Jan 15 2024 00:00:00 GMT+0530 (India Standard Time)","48.95","50.75","48.85","50.40","4.35","3.00","93,995,725"
"Tue Jan 16 2024 00:00:00 GMT+0530 (India Standard Time)","50.75","52.25","49.10","50.00","-0.79","-2.14","120,450,425"
"Wed Jan 17 2024 00:00:00 GMT+0530 (India Standard Time)","49.80","51.60","48.70","49.85","-0.30","-1.65","72,215,253"
"Thu Jan 18 2024 00:00:00 GMT+0530 (India Standard Time)","50.00","52.65","47.90","51.95","4.21","2.86","99,201,799"
"Fri Jan 19 2024 00:00:00 GMT+0530 (India Standard Time)","52.40","52.80","51.10","51.65","-0.58","-1.93","52,245,277"
"Sat Jan 20 2024 00:00:00 GMT+0530 (India Standard Time)","51.95","53.65","51.35","53.15","2.90","1.55","55,319,141"
"Tue Jan 23 2024 00:00:00 GMT+0530 (India Standard Time)","53.90","54.90","50.60","51.10","-3.86","-5.21","76,748,898"
"Wed Jan 24 2024 00:00:00 GMT+0530 (India Standard Time)","51.35","54.00","50.15","53.75","5.19","3.84","59,229,750"
"Thu Jan 25 2024 00:00:00 GMT+0530 (India Standard Time)","53.90","54.30","52.75","53.40","-0.65","-2.00","35,529,804"
"Mon Jan 29 2024 00:00:00 GMT+0530 (India Standard Time)","53.90","55.50","53.45","54.00","1.12","-0.23","49,517,058"
"Tue Jan 30 2024 00:00:00 GMT+0530 (India Standard Time)","54.50","55.25","53.50","53.75","-0.46","-1.81","44,141,860"
"Wed Jan 31 2024 00:00:00 GMT+0530 (India Standard Time)","53.95","56.10","53.50","55.25","2.79","1.44","70,701,160"
"Thu Feb 01 2024 00:00:00 GMT+0530 (India Standard Time)","55.80","57.15","54.20","56.45","2.17","0.82","74,425,518"
"Fri Feb 02 2024 00:00:00 GMT+0530 (India Standard Time)","57.20","58.90","56.50","57.40","1.68","0.33","88,992,567"
"Mon Feb 05 2024 00:00:00 GMT+0530 (India Standard Time)","57.80","63.80","57.40","60.05","4.62","3.27","184,678,185"
"Tue Feb 06 2024 00:00:00 GMT+0530 (India Standard Time)","60.90","64.40","60.00","61.75","2.83","1.48","90,067,124"
"Wed Feb 07 2024 00:00:00 GMT+0530 (India Standard Time)","62.35","65.65","62.35","64.20","3.97","2.62","86,303,525"
