"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Tue May 18 2021 00:00:00 GMT+0530 (India Standard Time)","13.05","13.10","12.60","12.70","-1.55","-1.82","8,302,483"
"Wed May 19 2021 00:00:00 GMT+0530 (India Standard Time)","12.65","12.90","12.45","12.60","-0.79","-1.06","9,283,811"
"Thu May 20 2021 00:00:00 GMT+0530 (India Standard Time)","12.65","12.80","12.45","12.55","-0.40","-0.67","6,606,745"
"Fri May 21 2021 00:00:00 GMT+0530 (India Standard Time)","12.60","12.85","12.60","12.70","1.20","0.92","7,385,894"
"Mon May 24 2021 00:00:00 GMT+0530 (India Standard Time)","12.90","13.15","12.75","13.05","2.76","2.48","12,619,036"
"Tue May 25 2021 00:00:00 GMT+0530 (India Standard Time)","13.15","13.20","12.90","13.00","-0.38","-0.66","7,659,842"
"Wed May 26 2021 00:00:00 GMT+0530 (India Standard Time)","13.00","13.20","12.80","12.95","-0.38","-0.66","13,161,158"
"Thu May 27 2021 00:00:00 GMT+0530 (India Standard Time)","13.00","13.40","13.00","13.15","1.54","1.27","18,539,847"
"Fri May 28 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","14.05","13.45","13.55","3.04","2.77","43,581,102"
"Mon May 31 2021 00:00:00 GMT+0530 (India Standard Time)","13.55","13.90","13.55","13.60","0.37","0.10","13,000,057"
"Tue Jun 01 2021 00:00:00 GMT+0530 (India Standard Time)","13.60","13.75","13.00","13.20","-2.94","-3.21","12,906,744"
"Wed Jun 02 2021 00:00:00 GMT+0530 (India Standard Time)","13.25","13.50","13.00","13.45","1.89","1.62","15,857,081"
"Thu Jun 03 2021 00:00:00 GMT+0530 (India Standard Time)","13.50","13.80","13.30","13.40","-0.37","-0.64","11,431,160"
"Fri Jun 04 2021 00:00:00 GMT+0530 (India Standard Time)","13.45","13.70","13.20","13.50","0.75","0.47","14,487,296"
"Mon Jun 07 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","13.80","13.55","13.60","0.74","0.47","16,358,209"
"Tue Jun 08 2021 00:00:00 GMT+0530 (India Standard Time)","14.15","14.45","13.80","13.90","2.21","1.93","30,331,979"
"Wed Jun 09 2021 00:00:00 GMT+0530 (India Standard Time)","13.95","14.10","13.45","13.60","-2.16","-2.43","14,238,393"
"Thu Jun 10 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","13.75","13.55","13.65","0.37","0.09","7,113,226"
"Fri Jun 11 2021 00:00:00 GMT+0530 (India Standard Time)","13.70","13.90","13.60","13.65","0","-0.27","7,322,605"
"Mon Jun 14 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","13.75","13.25","13.70","0.37","0.09","5,740,569"
"Tue Jun 15 2021 00:00:00 GMT+0530 (India Standard Time)","13.80","14.60","13.65","14.25","4.01","3.74","27,500,564"
"Wed Jun 16 2021 00:00:00 GMT+0530 (India Standard Time)","14.25","14.45","13.90","14.05","-1.40","-1.68","14,827,699"
"Thu Jun 17 2021 00:00:00 GMT+0530 (India Standard Time)","13.90","14.35","13.80","13.95","-0.71","-0.98","11,208,809"
"Fri Jun 18 2021 00:00:00 GMT+0530 (India Standard Time)","14.10","14.10","13.20","13.65","-2.15","-2.42","10,032,516"
"Mon Jun 21 2021 00:00:00 GMT+0530 (India Standard Time)","13.35","14.65","13.30","14.35","5.13","4.86","29,540,880"
"Tue Jun 22 2021 00:00:00 GMT+0530 (India Standard Time)","14.55","15.15","14.45","14.55","1.39","1.12","48,088,743"
"Wed Jun 23 2021 00:00:00 GMT+0530 (India Standard Time)","14.85","15.50","14.60","14.75","1.37","1.10","45,835,833"
"Thu Jun 24 2021 00:00:00 GMT+0530 (India Standard Time)","14.75","15.05","14.30","14.50","-1.69","-1.97","14,493,542"
"Fri Jun 25 2021 00:00:00 GMT+0530 (India Standard Time)","14.60","14.80","14.30","14.55","0.34","0.07","12,052,961"
"Mon Jun 28 2021 00:00:00 GMT+0530 (India Standard Time)","14.65","15.45","14.50","15.30","5.15","4.88","31,619,843"
"Tue Jun 29 2021 00:00:00 GMT+0530 (India Standard Time)","15.35","15.35","14.90","14.95","-2.29","-2.56","17,939,303"
"Wed Jun 30 2021 00:00:00 GMT+0530 (India Standard Time)","15.00","15.90","14.95","15.20","1.67","1.40","42,434,479"
"Thu Jul 01 2021 00:00:00 GMT+0530 (India Standard Time)","15.30","15.50","15.10","15.15","-0.33","-0.60","12,174,388"
"Fri Jul 02 2021 00:00:00 GMT+0530 (India Standard Time)","15.10","15.35","15.00","15.10","-0.33","-0.60","10,992,901"
"Mon Jul 05 2021 00:00:00 GMT+0530 (India Standard Time)","15.25","15.30","14.95","15.00","-0.66","-0.94","7,747,161"
"Tue Jul 06 2021 00:00:00 GMT+0530 (India Standard Time)","15.00","15.10","14.45","14.60","-2.67","-2.94","12,000,924"
"Wed Jul 07 2021 00:00:00 GMT+0530 (India Standard Time)","14.55","14.65","14.15","14.45","-1.03","-1.30","6,972,316"
"Thu Jul 08 2021 00:00:00 GMT+0530 (India Standard Time)","14.45","14.80","14.30","14.40","-0.35","-0.62","9,018,525"
"Fri Jul 09 2021 00:00:00 GMT+0530 (India Standard Time)","14.40","14.50","14.25","14.30","-0.69","-0.97","5,728,355"
"Mon Jul 12 2021 00:00:00 GMT+0530 (India Standard Time)","14.40","14.50","14.20","14.25","-0.35","-0.62","5,308,839"
"Tue Jul 13 2021 00:00:00 GMT+0530 (India Standard Time)","14.35","14.45","14.15","14.30","0.35","0.08","4,821,634"
"Wed Jul 14 2021 00:00:00 GMT+0530 (India Standard Time)","14.30","14.30","14.10","14.10","-1.40","-1.67","4,089,857"
"Thu Jul 15 2021 00:00:00 GMT+0530 (India Standard Time)","14.15","14.25","14.00","14.05","-0.35","-0.63","3,660,781"
"Fri Jul 16 2021 00:00:00 GMT+0530 (India Standard Time)","14.10","14.20","14.00","14.05","0","-0.27","3,759,950"
"Mon Jul 19 2021 00:00:00 GMT+0530 (India Standard Time)","13.85","14.00","13.80","13.85","-1.42","-1.70","4,385,689"
"Tue Jul 20 2021 00:00:00 GMT+0530 (India Standard Time)","13.85","13.90","13.50","13.60","-1.81","-2.08","4,273,991"
"Thu Jul 22 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","13.80","13.50","13.55","-0.37","-0.64","4,069,782"
"Fri Jul 23 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","13.80","13.40","13.55","0","-0.27","5,685,361"
"Mon Jul 26 2021 00:00:00 GMT+0530 (India Standard Time)","13.50","13.65","13.30","13.50","-0.37","-0.64","3,304,956"
"Tue Jul 27 2021 00:00:00 GMT+0530 (India Standard Time)","13.60","14.35","13.50","13.80","2.22","1.95","19,141,634"
"Wed Jul 28 2021 00:00:00 GMT+0530 (India Standard Time)","13.95","14.05","13.60","13.70","-0.72","-1.00","6,222,143"
"Thu Jul 29 2021 00:00:00 GMT+0530 (India Standard Time)","13.80","13.95","13.70","13.80","0.73","0.46","4,588,910"
"Fri Jul 30 2021 00:00:00 GMT+0530 (India Standard Time)","13.75","13.95","13.70","13.80","0","-0.27","4,267,799"
"Mon Aug 02 2021 00:00:00 GMT+0530 (India Standard Time)","13.85","13.90","13.70","13.75","-0.36","-0.64","3,523,885"
"Tue Aug 03 2021 00:00:00 GMT+0530 (India Standard Time)","13.75","13.80","13.50","13.55","-1.45","-1.73","3,214,570"
"Wed Aug 04 2021 00:00:00 GMT+0530 (India Standard Time)","13.55","13.65","13.20","13.30","-1.85","-2.12","5,068,140"
